AAA	CETV	CEZ	ERBAG	KOMB	ORCO	PEGAS	TABAK	TELEC	UNIPE	VIG
0.914191419	0.616492147	0.960117227	0.771326165	0.816498316	1.356521739	1.036925719	1.05509459	0.961565668	0.85561854	1.051075685
0.750902527	0.553927813	0.890245521	0.668215613	0.687010309	0.444102564	1.028985507	0.906888959	0.924472781	0.885424786	0.73862465
1.3125	1.835952472	1.095706619	1.535002318	1.232292917	1.072940724	0.993963783	0.989767603	1.083023873	1.026144366	1.103668262
1.015873016	1.457620042	1.136054422	1.310178194	1.334632245	1.69955157	1.39757085	0.953565796	1.067842273	1.070858712	1.448880058
1.098557692	0.976797479	1.02994012	1.037344398	0.868248175	0.941794195	1.057358053	1.084160235	0.940366972	0.905231114	0.966213689
0.996717724	1.078592375	0.969186047	1.115555556	1.076082388	0.841093741	0.983561644	1.071186441	1.029268293	1	1.016774194
1.283205269	1.018216422	1.158968206	1.254581673	1.209765625	1.199120645	1.050139276	1.151898734	1.161137441	1.044247788	1.075507614
1.21471343	1.316688919	0.960662526	1.191171801	1.094607685	1.255555556	1.196286472	1.14010989	1.006122449	1.11440678	1.062064897
1.044366197	1.196511864	0.99137931	1.028392429	1.014749263	0.871681416	1.026607539	1.060240964	0.866125761	1.072243346	1.093434063
0.94200944	0.794915254	0.976086957	0.985093973	1.041569767	0.969543147	0.920086393	0.98875	0.997892272	0.963120567	1.035358667
1.001431639	0.942217484	0.968930958	0.940789474	1.060563773	0.97382199	1.003521127	0.907941616	0.984510678	0.986745214	0.920804711
0.964974982	1.011314777	0.992989312	0.976923077	1.033947368	0.915806452	1.039766082	1.113417722	0.996424315	1.041044776	1.003943302
1.07037037	1.243007384	1.064814815	1.037652112	0.970984983	0.974521545	1.010123735	1.114711232	1.070574163	1.018637993	0.984607219
0.961937716	0.910891089	0.94576087	0.973371965	0.982961992	1.111506024	0.968819599	1.050484447	1.003351955	0.953553835	0.987708895
1.045323741	1.086166008	1.020572348	1.102763997	1.017333333	1.029754485	1.032873563	0.961165049	0.977728285	1.19704797	1.076847506
1.324156917	1.222707424	1.04009009	1.093187661	1.04587156	1.005263158	0.997329179	0.910505051	0.971526196	1.245992602	0.966548403
0.961018711	0.814583333	0.963620615	0.893474427	0.919047619	0.803664921	0.984155322	0.935211893	0.957561547	0.984661059	0.913057158
0.9605192	0.794665692	0.967191011	0.885511251	0.927188437	0.797459283	0.950113379	1.037366548	1.001469148	0.965829146	1.014932231
1.002815315	0.931034483	1.010803903	1.13909942	1.086764706	1.012989135	1.042959427	1.017724414	1.063569682	1.10301769	1.031575373
0.994946659	1.024691358	0.941271118	0.929158513	1.0202977	1.112903226	0.974828375	0.992134831	1.008965517	1.05754717	0.991881514
0.996049661	1.078072289	0.986568987	1.02064027	1.04403183	1.377246377	1.068075117	1.057757644	0.879471406	0.93220339	1.065258268
1.030028329	0.93540456	0.97029703	1.103315449	1.020071138	0.991844681	0.923076923	1.016702355	1.009067358	0.957416268	0.994289274
1.056105611	0.850657109	0.957908163	0.933915212	1.00871731	0.970558591	0.997619048	1.053074979	0.953786906	0.974512744	0.939849624
1.143229167	1.08005618	1.042609854	1.188251001	1.095061728	1.002459554	1.116945107	1.024	1.0269179	1.01025641	1.106222222
1.129840547	0.842652796	1.06385696	0.995730337	0.951747463	0.964941933	0.955128205	1	1.05897772	0.933045685	0.959321012
0.980645161	1.065432099	0.972388956	1.058226134	1.00687041	1.123855803	0.979865772	0.8984375	0.99009901	0.952070072	1.068998011
1.099506579	1.058806489	1.092345679	0.936233739	1.028	1.170437406	1.010273973	1.133152174	1.0125	0.994285714	0.97668952
0.972326103	1.022708618	1.057866184	0.946469248	0.985351339	0.939862543	1.01920904	0.890167866	1.034567901	1.114942529	0.974729242
0.968846154	1.003210273	1.00534188	1.018170878	0.945644599	1.005484461	0.997782705	1.012931034	0.983293556	0.943247423	0.987860082
0.966256451	0.896	0.917109458	1.015482803	1.004667158	0.897318182	1.046666667	1.031914894	1.059466019	0.947046287	0.942511977
1.000821693	0.94047619	1.00811124	0.934590317	0.919070905	0.985157793	0.978768577	1.033917526	0.980526919	0.992498557	0.99679558
0.832922824	0.690189873	0.908045977	0.759651308	0.939079542	0.796174414	0.997830803	1.055239805	1.001869159	1.066860465	0.858884824
0.91966486	0.657955066	0.898734177	0.786885246	0.973371105	0.667075691	0.941304348	1.053576491	0.914179104	0.950953678	0.888616417

