DJA	NDX	NYA	OEX
1.065235398	1.047602352	1.108477321	1.0674757
1.053299053	1.054350494	1.073196261	1.057863908
1.026271421	0.984027493	1.029662947	1.013092527
1.010506873	1.02041659	1.019014076	1.01704381
1.009692664	1.01329377	1.022900034	1.018432331
0.961649288	0.972925194	0.969274893	0.974339585
0.984582894	1.00513042	1.003994061	1.005466325
0.97940061	0.970616634	0.964521156	0.971927646
0.989140325	0.971931408	0.978481809	0.976986689
0.953404129	0.954672522	0.933063955	0.936084114
1.004779911	1.003362726	1.011090118	1.006323976
0.966912031	0.940497541	0.969084363	0.965446087
0.932140372	0.88458189	0.920764393	0.924357828
1.042879829	1.054638656	1.04397873	1.052193471
0.924532095	0.933015021	0.924369088	0.934253636
1.045229543	1.065118392	1.049758488	1.054335507
1.081270303	1.080026344	1.100540818	1.095769278
0.969538372	0.978861659	0.996441186	0.990060709
0.95261238	0.928684498	0.944579607	0.946065693
0.975004851	0.957309697	0.978499056	0.978322729
1.04378007	1.068505031	1.043752125	1.038376861
0.97533841	0.950072837	0.987111967	0.993483631
0.935990824	0.943250935	0.950240823	0.94433567
1.022057401	1.031107352	1.025436794	1.012523066
0.976258087	0.945433074	0.96127266	0.972110167
0.973402978	0.986567724	0.967040179	0.969519516
0.92506759	0.921346423	0.919192501	0.933515839
0.990818601	0.971785412	1.01675148	0.995112414
0.970910295	0.971272735	0.91827044	0.949574329
0.919319191	0.887171616	0.903075439	0.929433498
0.941049149	0.902975724	0.927304388	0.922777262
1.149421699	1.056634348	1.125353312	1.123689727
1.10275074	1.026604533	1.108022072	1.102893069
1.007132048	0.97862419	0.972598814	1.003128331
1.05739878	1.125684166	1.082472809	1.072304743
1.165088484	1.194676276	1.242812761	1.170835218
1.086964357	1.174278673	1.112744265	1.087103719
0.994238388	0.987508945	1.006747728	0.988287663
1.005778084	0.993478085	1.026288596	0.995170489
1.084690867	1.106407416	1.085514891	1.099915676
0.985996048	0.943485341	0.989205496	1.002894469
0.942874088	0.929201648	0.945985849	0.957425897
0.983821546	0.979426801	1.0187751	0.999853351
1.039147114	1.055091762	1.018265075	1.047977576
1.024091752	1.132240336	1.067296651	1.066230212
1.009622103	1.002000067	1.011963673	1.009305039
1.036584294	1.071743813	1.046136443	1.046775429
0.980913881	0.933956534	0.973589963	0.986319713
0.976348191	0.951040357	0.955943056	0.962182816
1.001746072	0.971504427	0.995573608	0.982951983
1.019492912	1.001055868	1.033337171	1.025186829
1.029545161	0.996944315	1.010697841	1.013944022
0.96417427	0.968654541	0.964833885	0.968993352
0.952446331	0.948927854	0.961994156	0.954807904
0.990878371	0.993928999	0.985177859	0.99053686
1.006139439	1.017415985	1.014268117	1.035790847
0.972013935	0.980259781	0.987497204	0.990446624
1.001099258	1.019551483	0.981396255	0.983691949
0.990915019	0.967224006	0.978367711	0.986038421
0.95675402	0.954742748	0.965204479	0.967934808
